ID,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary,TOTAL
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,FALSE,52
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,FALSE,87
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,FALSE,148
3,VenusaurMega Venusaur,Grass,Poison,80,100,123,122,120,80,1,FALSE,152
4,Charmander,Fire,,39,52,43,60,50,65,1,FALSE,44
5,Charmeleon,Fire,,58,64,58,80,65,80,1,FALSE,83
6,Charizard,Fire,Flying,78,84,78,109,85,100,1,FALSE,142
6,CharizardMega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,FALSE,146
6,CharizardMega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,FALSE,146
7,Squirtle,Water,,44,48,65,50,64,43,1,FALSE,53
8,Wartortle,Water,,59,63,80,65,80,58,1,FALSE,87
9,Blastoise,Water,,79,83,100,85,105,78,1,FALSE,147
9,BlastoiseMega Blastoise,Water,,79,103,120,135,115,78,1,FALSE,151
10,Caterpie,Bug,,45,30,35,20,20,45,1,FALSE,47
11,Metapod,Bug,,50,20,55,25,25,30,1,FALSE,56
12,Butterfree,Bug,Flying,60,45,50,90,80,70,1,FALSE,86
13,Weedle,Bug,Poison,40,35,30,20,20,50,1,FALSE,40
14,Kakuna,Bug,Poison,45,25,50,25,25,35,1,FALSE,47
15,Beedrill,Bug,Poison,65,90,40,45,80,75,1,FALSE,102
15,BeedrillMega Beedrill,Bug,Poison,65,150,40,15,80,145,1,FALSE,107
16,Pidgey,Normal,Flying,40,45,40,35,35,56,1,FALSE,43
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,FALSE,94
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,FALSE,156
18,PidgeotMega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,FALSE,157
19,Rattata,Normal,,30,56,35,25,35,72,1,FALSE,28
20,Raticate,Normal,,55,81,60,50,70,97,1,FALSE,77
21,Spearow,Normal,Flying,40,60,30,31,31,70,1,FALSE,43
22,Fearow,Normal,Flying,65,90,65,61,61,100,1,FALSE,103
23,Ekans,Poison,,35,60,44,40,54,55,1,FALSE,38
24,Arbok,Poison,,60,85,69,65,79,80,1,FALSE,92
25,Pikachu,Electric,,35,55,40,50,50,90,1,FALSE,36
26,Raichu,Electric,,60,90,55,90,80,110,1,FALSE,91
27,Sandshrew,Ground,,50,75,85,20,30,40,1,FALSE,63
28,Sandslash,Ground,,75,100,110,45,55,65,1,FALSE,131
29,Nidoran (Female),Poison,,55,47,52,40,40,41,1,FALSE,72
30,Nidorina,Poison,,70,62,67,55,55,56,1,FALSE,111
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,FALSE,181
32,Nidoran (Male),Poison,,46,57,40,40,40,50,1,FALSE,54
33,Nidorino,Poison,,61,72,57,55,55,65,1,FALSE,89
34,Nidoking,Poison,Ground,81,102,77,85,75,85,1,FALSE,152
35,Clefairy,Fairy,,70,45,48,60,65,35,1,FALSE,110
36,Clefable,Fairy,,95,70,73,95,90,60,1,FALSE,198
37,Vulpix,Fire,,38,41,40,50,65,65,1,FALSE,42
38,Ninetales,Fire,,73,76,75,81,100,100,1,FALSE,126
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,FALSE,271
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,FALSE,404
41,Zubat,Poison,Flying,40,45,35,30,40,55,1,FALSE,43
42,Golbat,Poison,Flying,75,80,70,65,75,90,1,FALSE,129
43,Oddish,Grass,Poison,45,50,55,75,65,30,1,FALSE,54
